label,treatment,flux,swc,ts,date_time,bulk_density,root_density,total_c_percent,total_n_percent,cn_ratio,c_stock_kgC_m2,flux_mgco2_kgc,porosity,wfps,micro,macro
9,NPK,0.960273333333333,0.05465,13.0544433333333,2024-03-27T09:03:45Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.01861786824009205,66.0758458113208,0.0827079840280105,2.530991,76.579103
9,NPK,0.809733333333333,0.207213333333333,17.49,2024-03-29T10:15:37Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.015699184790730278,66.0758458113208,0.313599214340789,2.530991,76.579103
9,NPK,1.08418333333333,0.106756666666667,17.6666666666667,2024-04-01T09:03:20Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.021020246785398336,66.0758458113208,0.161566856021049,2.530991,76.579103
9,NPK,2.89610333333333,0.235076666666667,26.1,2024-07-30T09:12:42Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.056149919401099,66.0758458113208,0.355767926661018,2.530991,76.579103
9,NPK,3.41229666666667,0.265556666666667,28.9733333333333,2024-07-31T10:16:27Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.06615792351077686,66.0758458113208,0.401896734587344,2.530991,76.579103
9,NPK,2.95289333333333,0.202483333333333,27.4,2024-08-01T09:09:08Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.057250969175838315,66.0758458113208,0.306440774003141,2.530991,76.579103
9,NPK,3.10021666666667,0.126233333333333,26.9,2024-08-02T08:37:59Z,0.898990086,4.69699e-4,2.525,0.14,18.0357142857143,2.26994996715,0.06010728759423095,66.0758458113208,0.191043083570647,2.530991,76.579103
10,NPK,1.115,0,29.1533333333333,2023-06-06T09:15:00Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.02351566055407025,67.9246293962264,0,1.083691,74.542895
10,NPK,1.45833333333333,0,38.2,2023-06-09T11:26:00Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.030756656180585082,67.9246293962264,0,1.083691,74.542895
10,NPK,2.05866666666667,0.283333333333333,30.7,2023-06-12T12:22:20Z,0.849997321,2.39783e-4,2.455,0.115,21.3478260869565,2.086743423055,0.043417853387724394,67.9246293962264,0.417129008802622,1.083691,74.542895
